Aika_ms,KokonaisG,DynaaminenG,SisainenNopeus,BLE_Nopeus
BLE connected -> ACTIVE MODE
86800,1.242,-0.108,-0.290,0.000
86821,1.112,-0.204,-0.282,0.000
86841,0.970,-0.316,-0.293,0.000
86861,0.951,-0.380,-0.312,0.000
86881,0.994,-0.360,-0.325,0.000
86902,1.038,-0.312,-0.331,0.000
86922,1.068,-0.291,-0.330,0.000
86942,1.014,-0.342,-0.338,0.000
86962,0.936,-0.381,-0.351,0.000
86983,0.947,-0.342,-0.358,0.000
87003,1.037,-0.274,-0.350,0.000
87023,1.115,-0.209,-0.332,0.000
87043,1.122,-0.225,-0.320,0.000
87064,1.116,-0.271,-0.319,0.000
87084,1.089,-0.277,-0.318,0.000
87104,1.025,-0.264,-0.314,0.000
87124,0.988,-0.264,-0.311,0.000
87145,1.035,-0.236,-0.306,0.000
87165,1.077,-0.221,-0.297,0.000
87185,1.044,-0.264,-0.296,0.000
87205,0.991,-0.321,-0.305,0.000
87226,0.972,-0.364,-0.323,0.000
87246,0.987,-0.358,-0.334,0.000
87266,1.022,-0.322,-0.338,0.000
87286,1.067,-0.260,-0.331,0.000
87307,1.059,-0.246,-0.324,0.000
87327,0.974,-0.303,-0.326,0.000
87347,0.930,-0.327,-0.332,0.000
87367,0.972,-0.294,-0.331,0.000
87388,1.027,-0.251,-0.325,0.000
87408,1.063,-0.241,-0.317,0.000
87428,1.072,-0.256,-0.312,0.000
87448,1.047,-0.284,-0.313,0.000
87469,1.031,-0.299,-0.318,0.000
87489,1.063,-0.267,-0.315,0.000
87509,1.062,-0.257,-0.311,0.000
87529,1.041,-0.258,-0.307,0.000
87550,1.000,-0.269,-0.308,0.000
87570,0.965,-0.285,-0.309,0.000
87590,0.969,-0.293,-0.312,0.000
87610,0.982,-0.285,-0.313,0.000
87631,1.022,-0.263,-0.312,0.000
87651,1.107,-0.224,-0.302,0.000
87671,1.100,-0.223,-0.294,0.000
87691,1.052,-0.257,-0.293,0.000
87712,1.035,-0.280,-0.298,0.000
87732,1.045,-0.282,-0.300,0.000
87752,1.009,-0.294,-0.304,0.000
87772,1.012,-0.287,-0.306,0.000
87793,1.038,-0.262,-0.306,0.000
87813,1.039,-0.264,-0.304,0.000
87833,1.015,-0.282,-0.306,0.000
87853,0.998,-0.292,-0.309,0.000
87874,1.007,-0.293,0.000,0.000
87894,0.984,-0.186,0.000,0.000
